Продукт;Белков, г;Жиров, г;Углеводов, г;Калории, ккал;ГИ
Гусиный жир;0.0;99.8;0.0;930.0;0
Жир говяжий топленый;0.0;99.6;0.0;871.0;0
Говяжий ливер;14.8;4.2;0.0;735.0;0
Подчеревок свиной;7.4;67.8;0.0;630.0;0
Кишки свиные;8.0;63.3;0.0;602.0;0
Свинина - плечо;14.7;29.4;0.0;593.0;0
Салями;21.6;53.7;1.4;568.0;0
Свиные щечки;8.0;56.0;0.0;540.0;0
Свинина - отбивная на косточке;21.0;10.0;0.0;537.0;0
Баранина - грудинка;14.0;25.8;0.0;533.0;0
Копченые ребрышки свиные;10.0;52.7;0.0;514.0;0
Копченая колбаса;24.0;19.0;0.0;507.0;0
Свиная щековина;6.4;69.6;0.0;494.0;0
Корейка сырокопченая;10.5;47.4;0.0;469.0;0
Баранина - спинная часть;16.5;20.9;0.0;459.0;0
Бекон вареный;16.0;14.0;0.0;447.0;0
Колбаса с жиром;21.1;39.1;0.0;436.0;0
Печень гусиная;15.2;39.0;0.0;412.0;0
Печень утиная;16.0;38.0;0.0;405.0;0
Утка i категории;16.0;38.0;0.0;405.0;0
Колбаса «украинская»;16.5;34.4;0.0;404.0;0
Утка жареная;23.2;34.9;0.1;401.0;0
Говядина - филе (ростбиф);20.1;3.5;0.0;381.0;0
Баранина - отбивная на косточке;14.0;25.0;0.0;380.0;0
Говядина - оковалок;20.0;3.5;0.0;380.0;0
Жареная свиная колбаса;17.0;27.0;0.0;364.0;0
Свинина мясная;14.3;33.3;0.0;357.0;0
Свинина - шницель;14.7;29.4;0.0;352.0;0
Смешанный мясной фарш;12.3;32.4;0.0;351.0;0
Тушенка свиная;14.9;32.2;0.0;349.0;0
Мортаделла;8.8;21.0;3.0;345.0;0
Жареная телячья колбаса;16.0;23.0;0.0;343.0;0
Свиная шейка;13.6;31.9;0.0;343.0;0
Мозговая колбаса;19.0;23.0;0.0;342.0;0
Свинина жирная;15.0;30.3;0.0;333.0;0
Сардельки свиные;10.1;31.6;1.9;332.0;0
Говяжья вырезка;24.0;25.0;0.0;324.0;0
Сосиски свиные;11.8;30.8;0.0;324.0;0
Ребрышки свиные;15.2;29.3;0.0;321.0;0
Баранья нога;13.96;29.76;0.4;318.0;0
Гусь ii категории;68.0;249.3;0.0;317.0;0
Колбаса телячья;12.0;30.0;0.0;316.0;0
Язык свиной;15.9;16.0;2.1;300.0;0
Свинина - рулька;18.6;24.7;0.0;294.0;0
Колбаса «любительская»;12.2;28.0;0.0;291.0;0
Утка ii категории;17.2;24.2;0.0;287.0;0
Баранина - лопатка;15.6;25.0;0.0;284.0;0
Вареная ветчина;22.6;20.9;0.0;282.0;0
Колбаса свиная;10.2;25.1;1.9;274.0;0
Кровяная колбаса;9.0;19.6;15.4;274.0;5
Индоутка;25.0;23.0;0.2;271.0;0
Ветчина;14.0;24.0;0.0;270.0;0
Сырая ветчина;14.0;24.0;0.0;270.0;0
Окорок вареный;14.3;25.6;0.0;269.0;0
Сосиски «молочные»;11.0;23.9;1.6;266.0;28
Колбаса из телячьей печени;18.0;24.1;0.0;265.0;0
Свинина - филе;19.4;7.3;0.0;264.0;0
Мясо вяленое;21.0;17.0;0.0;264.0;0
Свиной фарш;17.0;21.0;0.0;263.0;0
Окорок свиной;18.0;21.3;0.0;261.0;0
Свинина;16.0;21.6;0.0;259.0;0
Лопатка свиная;16.0;21.7;0.0;257.0;0
Куропатки;18.0;20.0;0.5;254.0;0
Говяжий фарш;17.2;20.0;0.0;254.0;0
Фазан;18.0;20.0;0.5;254.0;0
Тетерев;18.0;20.0;0.5;254.0;0
Колбаса «диабетическая»;12.1;22.8;0.0;254.0;0
Куропатка;29.0;8.0;0.0;254.0;0
Рябчик;18.0;20.0;0.5;254.0;0
Колбаса «молочная»;11.7;22.8;0.0;252.0;0
Солонина;18.0;19.0;0.5;251.0;0
Сосиски «русские»;11.3;22.0;0.0;243.0;0
Корейка свиная;27.0;14.0;0.0;242.0;0
Ветчинная колбаса;22.6;20.9;0.0;242.0;0
Кролик жареный;31.5;12.7;0.1;241.0;0
Курица, мякоть без кожи;18.2;18.4;0.7;241.0;0
Мясо барсука;15.0;15.0;0.0;240.0;0
Перепелка;18.0;18.6;0.0;239.0;0
Гусь i категории;29.0;13.0;0.0;238.0;0
Курица i категории;18.2;18.4;0.0;238.0;0
Фарш свинина говядина;15.3;18.9;1.4;236.0;0
Свинина - ножка;23.5;15.6;0.0;234.0;0
Говядина - ребра;16.3;18.7;0.0;233.0;0
Буженина;16.4;18.3;1.0;233.0;5
Говяжьи ребрышки;16.3;18.7;0.0;233.0;0
Баранина - окорок;18.0;18.0;0.0;232.0;0
Колбаса отдельная;10.1;20.1;1.8;232.0;0
Бараньи яйца;13.0;19.0;0.1;230.0;0
Бычьи яйца;13.0;20.0;0.1;230.0;0
Сосиски консервированные;42.0;174.6;10.4;228.0;5
Баранина жирная;18.0;30.0;0.0;225.0;0
Говядина - грудинка;19.3;15.7;0.0;217.0;0
Говяжья грудинка;19.3;15.7;0.0;217.0;0
Свиная голова;18.0;16.0;0.0;216.0;0
Козлятина;18.0;16.0;0.0;216.0;0
Кровь свиная;18.0;16.0;0.0;216.0;0
Говяжья солонина;19.0;25.0;0.0;216.0;0
Сардельки говяжьи;11.4;18.2;1.5;215.0;0
Языковая колбаса;16.2;10.3;0.3;215.0;0
Телятина - грудинка;19.3;15.7;0.0;213.0;0
